FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Paul George,Lac,F,29.86,42,29.1,60.6,29.6,13,187,0.882,341,0.463,333,0.399,0.53,0.582,21,5.7,10.2,3.9,21.2,1.33,0.48,2.69,10.7,110.6,100.3
Paul Millsap,Den,F,35.08,44,24.4,50.9,20.3,12.1,126,0.833,278,0.504,109,0.44,0.548,0.598,12,5.9,13.5,1.6,9.5,0.86,0.64,1.39,7.9,116.7,99.8
Paul Watson,Atl,G,25.2,2,8.8,18.2,16.6,0,0,0,4,0,3,0,0,0,0,1,6.2,1.5,20.5,0.5,0,0,0,27.2,112.6
Paul Watson,Tor,G,25.2,3,2.8,5.8,9.6,0,2,0.5,0,0,1,0,0,0.266,0.3,0.7,12.6,0.7,28.4,0,0.33,0,7.5,,
PJ Dozier,Den,G-F,23.38,21,11.1,23.2,19.9,10.3,11,0.636,63,0.46,28,0.25,0.434,0.449,4.1,1.4,7.1,1.4,17.5,0.33,0.24,0.52,7.2,96.2,102
Quinn Cook,Lal,G,26.97,38,10.8,22.4,20.9,12.4,9,0.667,107,0.477,66,0.379,0.512,0.517,4.8,1.1,5.3,1.1,13.9,0.29,0.03,0.66,6.7,100,106.3
Quinndary Weatherspoon,San,G,23.5,3,5,10.5,8.6,0,0,0,2,0,1,0,0,0,0,0.3,3.6,0.3,7.6,0,0,0,0,21.3,121.2
Rajon Rondo,Lal,G,34.05,48,20.5,42.7,18.7,20.9,41,0.659,202,0.475,125,0.328,0.482,0.496,7.1,3,7.9,5,32.3,0.81,0.04,1.9,9.2,102.8,104.1
Raul Neto,Phi,G,27.81,49,11.5,24,17.6,18.3,31,0.839,103,0.495,71,0.394,0.534,0.565,4.3,1.1,5.1,1.6,19.3,0.45,0.1,0.86,6.8,105.8,105.4
Rayjon Tucker,Uta,G,22.46,14,5.6,11.6,13.7,12.4,5,0.6,13,0.615,6,0,0.421,0.448,1.4,0.9,9.2,0.1,3.5,0.07,0,0.21,3.6,88.3,103.5
Reggie Bullock,Nyk,G-F,28.99,29,23.6,49.2,15.6,7.5,21,0.81,113,0.469,111,0.333,0.484,0.502,8.1,2.3,5.3,1.4,8.8,0.86,0.1,0.66,5,104.3,109.3
Reggie Jackson,Det,G,29.9,14,27.2,56.7,27,9.8,33,0.788,116,0.388,82,0.378,0.462,0.492,14.9,2.9,6.1,5.1,30.8,0.57,0.07,1.64,8.9,105.6,112.5
Reggie Jackson,Lac,G,29.9,9,19.5,40.5,19.1,21.1,10,0.9,28,0.607,31,0.452,0.644,0.67,9.4,2.9,7.7,3.2,24.2,0.22,0.44,1.89,9.1,117.2,101.1
Richaun Holmes,Sac,F,26.41,39,28.9,60.1,16.1,11.8,100,0.8,322,0.652,0,0,0.652,0.683,12.8,8.3,16.3,1,5.4,1,1.41,1.26,6.6,130.5,99
Ricky Rubio,Pho,G,29.39,57,31.6,65.9,20.2,18.1,204,0.853,423,0.44,188,0.351,0.466,0.531,13.1,4.6,8.2,8.9,39.9,1.54,0.16,2.72,10.3,111.6,106.1
RJ Barrett,Nyk,F-G,19.74,56,30.4,63.4,24,12.9,254,0.614,530,0.432,197,0.32,0.445,0.479,14.3,5,8.8,2.6,12.8,0.95,0.3,2.21,7.5,94.5,109.3
Robert Covington,Min,F,29.24,48,29.4,61.2,17.8,12,94,0.798,184,0.587,312,0.346,0.544,0.572,12.8,6,10.7,1.2,5.9,1.67,0.94,1.52,6.1,105.4,103.2
Robert Covington,Hou,F,29.24,14,32.6,67.8,16.2,11.2,14,0.786,40,0.6,112,0.357,0.553,0.566,12.8,7.9,12.7,1.3,5.5,1,2.5,1.43,6.2,108.6,101.4
Robert Williams III,Bos,C-F,22.4,23,14,29.2,12.2,20.7,25,0.56,62,0.677,0,0,0.677,0.671,4.3,4.7,18,1,9.5,0.91,1.22,0.83,7.8,123,92.9
Robin Lopez,Mil,C,31.94,60,14.4,29.9,16.6,15.6,43,0.535,177,0.588,96,0.344,0.562,0.565,5.5,2.4,8.4,0.7,6.4,0.17,0.68,0.9,5.8,103.4,98.1
Rodions Kurucs,Bro,F,22.1,39,12.8,26.7,15.2,19.3,28,0.607,69,0.507,65,0.385,0.541,0.554,4.2,2.5,10,0.8,9.4,0.44,0.08,0.9,6.4,98.6,97.4
Rodney Hood,Por,G-F,27.39,21,29.5,61.4,13.9,9.4,27,0.778,101,0.515,71,0.493,0.608,0.625,11,3.4,6,1.5,7.1,0.81,0.19,0.9,5.2,120.6,111.8
Rodney McGruder,Lac,G,28.62,50,15,31.2,10.5,11.1,28,0.536,77,0.506,79,0.278,0.462,0.472,3.2,2.6,8.8,0.6,5.3,0.46,0.16,0.42,4.6,98.9,101.7
Romeo Langford,Bos,G-F,20.38,27,11,23,11.9,10.8,23,0.696,41,0.463,23,0.217,0.414,0.465,2.6,1.2,5.8,0.2,2.6,0.26,0.22,0.33,3.1,97.8,103.6
Rondae Hollis-Jefferson,Tor,F,25.19,52,19.2,40,17.1,12,129,0.736,278,0.493,17,0.118,0.475,0.533,7.2,4.9,13.5,1.7,12.9,0.85,0.42,0.92,8.2,114.8,97.4
Royce O'Neale,Uta,F,26.77,64,29.1,60.6,9.3,12.7,49,0.735,110,0.536,211,0.389,0.567,0.584,6.3,5.3,10,2.5,11.5,0.73,0.44,0.78,6,118.5,101.2
Rudy Gay,San,F-G,33.57,60,21.5,44.7,21.2,12.4,113,0.876,317,0.517,185,0.314,0.5,0.545,10,5.4,13.5,1.7,11.3,0.43,0.47,1.3,8.4,105.1,108.7
Rudy Gobert,Uta,C,27.71,62,34.6,72,16.1,15.2,367,0.621,506,0.698,0,0,0.698,0.7,15.1,13.7,21.8,1.5,6.5,0.73,1.98,1.94,7.8,130,98.5
Rui Hachimura,Was,F,22.09,41,29.7,61.9,18.7,7.5,111,0.829,383,0.517,73,0.274,0.5,0.543,13.4,6,11.2,1.7,8.3,0.83,0.17,1,6.9,111.4,111.9
Russell Westbrook,Hou,G,31.33,53,35.9,74.9,34.4,14.9,346,0.777,998,0.518,201,0.254,0.495,0.539,27.5,8.1,11.8,7,35,1.68,0.32,4.45,12.9,106.6,102.2
Ryan Anderson,Hou,F,31.85,2,7,14.6,23.6,12.5,0,0,2,0.5,5,0.2,0.357,0.357,2.5,3.5,26.2,1,20.1,0.5,0,0.5,11.8,78.2,94.4
Ryan Arcidiacono,Chi,G,25.96,58,16,33.4,12.5,13.5,38,0.711,82,0.439,138,0.391,0.532,0.551,4.5,1.9,6.5,1.7,14.3,0.47,0.05,0.64,6.1,111,105.3
Ryan Broekhoff,Dal,G-F,29.55,17,10.6,22.1,16.3,8.8,8,0.875,8,0.25,51,0.392,0.542,0.568,4.2,2.5,12.5,0.6,8.3,0.29,0.24,0.35,7,114,103
Sekou Doumbouya,Det,F,19.22,38,19.8,41.3,16.9,12,46,0.674,138,0.464,98,0.286,0.449,0.474,6.4,3.1,8.9,0.5,3.7,0.53,0.21,0.92,4.3,90.3,105.2
Semi Ojeleye,Bos,F,25.27,61,14.6,30.4,8.8,6.5,28,0.893,61,0.475,98,0.367,0.522,0.557,3.1,2,7.5,0.5,4.5,0.3,0.08,0.2,4,118.6,105.3
Serge Ibaka,Tor,F,30.48,50,27.5,57.4,24.1,12.9,119,0.748,457,0.562,166,0.398,0.571,0.593,16,8.3,15.9,1.5,8.8,0.48,0.84,2,8.5,109.3,97.1
Seth Curry,Dal,G,29.55,59,24.5,51.1,18.6,9.5,88,0.841,232,0.56,300,0.453,0.628,0.65,12.6,2.3,5,2,12.1,0.61,0.14,1.02,6.3,123.9,108.3
