FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Malcolm Brogdon,Mil,G,26.51,7,28.3,59,20.1,10.8,11,0.636,41,0.512,37,0.378,0.538,0.549,13,4.9,8.6,3.4,18.9,0.71,0.14,1.43,8.5,110.2,100.5
Malcolm Miller,Tor,F,26.27,10,2.8,5.8,17.5,9.3,4,0.75,2,0.5,6,0.167,0.313,0.41,0.8,0.5,9.9,0.1,5.1,0,0.1,0.1,4.9,,
Malik Beasley,Den,G,22.55,14,20.1,41.8,18,6.2,31,0.71,46,0.37,47,0.404,0.489,0.53,8.1,3.4,9,1,7.3,0.21,0.07,0.5,6,112.6,107
Marc Gasol,Tor,C,34.37,24,30.6,63.8,13.6,9.5,46,0.87,91,0.462,89,0.382,0.517,0.564,9.4,6.4,11.5,3,14.7,0.88,1.08,0.88,7.4,118.4,97.2
Marco Belinelli,San,G-F,33.22,7,18.8,39.1,15,4.7,6,0.833,17,0.353,21,0.381,0.474,0.504,5.9,1.9,5.3,1.1,8.5,0,0.29,0.29,4.9,106.3,111.3
Marcus Morris,Bos,F,29.78,9,28.3,58.9,17.2,7,31,0.742,39,0.59,40,0.45,0.633,0.664,13.7,8.1,14.6,1.2,7.4,0.11,0.56,0.78,7.2,130,101.3
Marcus Smart,Bos,G,25.27,2,16.3,33.9,22.4,18,6,0.667,0,0,11,0.091,0.136,0.257,3.5,2,6.3,2,17.3,1.5,0,1.5,5.9,72.8,102.3
Markieff Morris,Okc,F,29.78,5,11.8,24.5,16,9.1,9,0.778,9,0.333,7,0.286,0.375,0.476,3.8,2.6,12,1,12.1,0.2,0.6,0.4,7.3,110.2,96.1
Mason Plumlee,Den,F-C,29.28,14,15.6,32.4,13.5,12.1,28,0.571,45,0.533,1,0,0.522,0.549,4.6,4.4,14.9,1.5,13.8,0.5,0.71,0.57,8,122.2,92.5
Maurice Harkless,Por,F,26.09,16,24.2,50.5,15.9,12,36,0.639,81,0.556,28,0.25,0.509,0.537,8.4,4.9,10.7,1.4,9,1.13,1,1.06,6.4,111.4,97.9
Melvin Frazier Jr.,Orl,G-F,22.79,3,4.9,10.1,17.8,0,2,0.5,5,0.4,0,0,0.4,0.425,1.7,1.3,14.9,0,0,0.33,0,0,0,97.5,107.9
Meyers Leonard,Por,F-C,27.29,11,15.5,32.2,18.6,5.5,9,0.333,32,0.625,33,0.424,0.631,0.616,7.7,3.6,12.5,1.1,11.8,0.18,0.09,0.36,8.1,125.2,96.4
